====================================================================================================
ALL MACHINES - SYNCHRONIZING SEQUENCE DETECTION RESULTS
====================================================================================================

Total Execution Time: 502.31 seconds
Total Machines Generated: 900
Machines with SS: 890
Machines without SS: 10

====================================================================================================

Machine      States   Has SS     SS Length    Time (s)     Synchronizing Sequence
----------------------------------------------------------------------------------------------------
Machine1     20       YES        13           0.001998     0 0 0 1 0 0 0 1 1 1 0 0 1
Machine2     20       YES        19           0.023528     0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0
Machine3     20       YES        9            0.000000     0 1 0 1 0 1 1 1 1
Machine4     20       YES        12           0.004999     1 1 1 1 1 1 1 1 1 1 1 1
Machine5     20       YES        12           0.000998     0 0 0 1 1 0 0 1 1 0 0 1
Machine6     20       YES        11           0.001996     0 1 1 1 1 1 1 1 1 1 1
Machine7     20       YES        11           0.001001     0 0 0 0 1 0 0 0 0 0 1
Machine8     20       YES        12           0.002002     0 0 1 0 1 0 0 0 0 0 0 1
Machine9     20       YES        15           0.002998     0 0 0 0 1 1 1 0 1 1 1 0 1 1 1
Machine10    20       YES        11           0.000999     1 1 0 0 0 0 1 1 0 0 1
Machine11    20       NO         N/A          N/A          N/A
Machine12    20       YES        10           0.002001     0 0 1 1 0 0 1 1 0 0
Machine13    20       YES        15           0.006001     0 1 0 0 1 1 0 0 1 0 1 0 0 1 1
Machine14    20       NO         N/A          N/A          N/A
Machine15    20       YES        15           0.001007     0 0 1 1 0 0 0 1 1 1 1 1 0 0 1
Machine16    20       YES        11           0.000000     0 1 0 0 0 1 0 0 1 0 0
Machine17    20       NO         N/A          N/A          N/A
Machine18    20       NO         N/A          N/A          N/A
Machine19    20       YES        9            0.001000     0 0 1 1 0 0 0 1 1
Machine20    20       YES        8            0.000000     1 1 1 0 0 1 0 0
Machine21    20       YES        11           0.001949     0 0 0 0 1 0 1 1 1 1 1
Machine22    20       YES        10           0.001010     0 0 1 0 1 0 1 1 0 1
Machine23    20       YES        10           0.000000     0 1 0 0 0 0 1 0 1 0
Machine24    20       YES        10           0.000962     1 0 1 1 1 1 1 0 1 0
Machine25    20       YES        12           0.001984     0 1 0 1 0 1 0 1 0 0 1 0
Machine26    20       YES        11           0.001000     0 0 0 0 0 1 1 1 0 1 1
Machine27    20       YES        12           0.000000     1 1 1 1 1 1 0 0 1 0 1 1
Machine28    20       YES        9            0.001001     0 0 0 0 0 0 0 0 0
Machine29    20       YES        11           0.002511     0 1 1 1 1 1 0 1 1 1 0
Machine30    20       YES        10           0.001009     0 0 1 0 0 0 0 0 0 0
Machine31    20       YES        8            0.000979     1 1 1 1 0 1 1 1
Machine32    20       YES        9            0.000000     1 0 0 0 1 0 0 0 1
Machine33    20       YES        10           0.001000     0 0 1 0 0 0 0 0 1 1
Machine34    20       YES        6            0.000000     0 0 0 1 0 1
Machine35    20       YES        12           0.001001     1 1 1 0 1 1 0 1 1 0 1 1
Machine36    20       YES        9            0.000000     0 0 0 1 1 1 0 0 1
Machine37    20       YES        8            0.001015     0 1 0 0 1 0 0 1
Machine38    20       YES        9            0.000999     1 1 0 1 1 0 1 1 0
Machine39    20       YES        15           0.012014     1 0 1 1 1 0 0 1 0 0 1 0 1 0 1
Machine40    20       YES        10           0.000998     1 1 1 1 0 0 1 1 1 1
Machine41    20       YES        8            0.000000     0 0 1 1 1 0 1 1
Machine42    20       YES        10           0.000000     1 1 1 1 0 1 0 0 0 0
Machine43    20       YES        8            0.001000     0 0 0 0 0 1 1 1
Machine44    20       YES        12           0.000999     0 0 0 0 0 1 1 1 1 1 0 0
Machine45    20       YES        9            0.001011     0 1 0 0 1 1 1 1 1
Machine46    20       YES        8            0.000000     0 0 0 0 0 0 1 1
Machine47    20       YES        12           0.001003     0 0 0 1 1 0 0 1 1 1 0 1
Machine48    20       YES        13           0.003001     0 1 1 1 1 1 1 0 1 1 1 1 1
Machine49    20       YES        7            0.001011     0 0 0 1 0 0 0
Machine50    20       YES        13           0.002995     0 0 1 0 1 1 0 0 1 0 1 1 1
Machine51    20       YES        7            0.000000     1 0 1 0 0 0 1
Machine52    20       YES        11           0.002026     0 0 0 0 0 0 1 0 0 0 0
Machine53    20       YES        9            0.000999     1 0 0 1 1 0 1 1 1
Machine54    20       YES        8            0.000000     1 1 0 1 0 1 1 0
Machine55    20       YES        13           0.001995     0 0 1 0 0 1 0 0 1 0 0 1 0
Machine56    20       YES        10           0.000000     0 1 0 0 0 1 1 1 1 0
Machine57    20       YES        12           0.001002     0 1 1 0 1 1 1 0 1 0 0 0
Machine58    20       YES        13           0.001984     0 0 0 1 0 0 0 0 1 0 0 1 1
Machine59    20       YES        11           0.001986     1 0 0 0 1 1 1 1 0 0 0
Machine60    20       YES        10           0.000000     0 0 0 1 0 1 1 1 0 1
Machine61    20       YES        12           0.001998     0 0 1 1 0 0 0 0 0 0 0 0
Machine62    20       YES        9            0.000999     1 1 1 0 0 1 1 0 1
Machine63    20       YES        11           0.001003     0 0 0 0 0 0 0 0 0 0 0
Machine64    20       YES        7            0.000997     0 0 1 1 0 1 1
Machine65    20       YES        8            0.000000     0 0 0 1 0 1 1 1
Machine66    20       YES        18           0.002020     1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0
Machine67    20       YES        12           0.001000     0 1 1 1 0 1 0 1 1 1 0 1
Machine68    20       YES        7            0.001009     0 1 0 1 1 0 0
Machine69    20       YES        7            0.001246     0 1 0 0 1 1 0
Machine70    20       YES        7            0.000000     0 0 1 1 1 1 0
Machine71    20       YES        10           0.000000     1 1 1 1 0 0 1 1 1 0
Machine72    20       YES        9            0.001007     1 0 0 0 0 0 0 0 0
