Machine705
60 2
0 0 20
0 1 37
1 0 31
1 1 26
2 0 3
2 1 41
3 0 3
3 1 3
4 0 31
4 1 10
5 0 30
5 1 43
6 0 53
6 1 53
7 0 37
7 1 22
8 0 19
8 1 15
9 0 37
9 1 5
10 0 50
10 1 16
11 0 0
11 1 20
12 0 32
12 1 20
13 0 32
13 1 52
14 0 26
14 1 1
15 0 22
15 1 44
16 0 24
16 1 53
17 0 17
17 1 17
18 0 19
18 1 42
19 0 19
19 1 55
20 0 27
20 1 3
21 0 55
21 1 16
22 0 49
22 1 43
23 0 21
23 1 13
24 0 28
24 1 39
25 0 40
25 1 2
26 0 44
26 1 24
27 0 42
27 1 33
28 0 23
28 1 19
29 0 43
29 1 5
30 0 39
30 1 50
31 0 11
31 1 52
32 0 35
32 1 41
33 0 49
33 1 50
34 0 4
34 1 4
35 0 39
35 1 39
36 0 0
36 1 33
37 0 45
37 1 55
38 0 38
38 1 4
39 0 55
39 1 41
40 0 39
40 1 45
41 0 9
41 1 16
42 0 22
42 1 18
43 0 28
43 1 26
44 0 31
44 1 37
45 0 51
45 1 51
46 0 45
46 1 23
47 0 8
47 1 48
48 0 31
48 1 3
49 0 14
49 1 1
50 0 56
50 1 44
51 0 45
51 1 4
52 0 39
52 1 56
53 0 29
53 1 26
54 0 19
54 1 32
55 0 1
55 1 2
56 0 5
56 1 40
57 0 47
57 1 12
58 0 23
58 1 22
59 0 13
59 1 31
