Machine704
60 2
0 0 1
0 1 7
1 0 15
1 1 42
2 0 18
2 1 56
3 0 22
3 1 10
4 0 56
4 1 11
5 0 32
5 1 5
6 0 52
6 1 50
7 0 48
7 1 48
8 0 42
8 1 2
9 0 11
9 1 14
10 0 37
10 1 2
11 0 25
11 1 12
12 0 12
12 1 52
13 0 34
13 1 57
14 0 37
14 1 59
15 0 2
15 1 59
16 0 58
16 1 20
17 0 43
17 1 18
18 0 7
18 1 53
19 0 37
19 1 18
20 0 37
20 1 38
21 0 12
21 1 46
22 0 0
22 1 2
23 0 6
23 1 6
24 0 39
24 1 10
25 0 19
25 1 4
26 0 0
26 1 13
27 0 24
27 1 43
28 0 41
28 1 27
29 0 15
29 1 14
30 0 23
30 1 33
31 0 30
31 1 5
32 0 21
32 1 36
33 0 52
33 1 47
34 0 23
34 1 9
35 0 27
35 1 19
36 0 8
36 1 44
37 0 57
37 1 39
38 0 35
38 1 8
39 0 36
39 1 46
40 0 33
40 1 53
41 0 58
41 1 45
42 0 9
42 1 42
43 0 2
43 1 41
44 0 28
44 1 43
45 0 51
45 1 43
46 0 26
46 1 18
47 0 45
47 1 56
48 0 30
48 1 12
49 0 46
49 1 27
50 0 40
50 1 59
51 0 24
51 1 34
52 0 16
52 1 58
53 0 40
53 1 42
54 0 10
54 1 22
55 0 52
55 1 8
56 0 25
56 1 58
57 0 50
57 1 58
58 0 54
58 1 1
59 0 43
59 1 21
